E_eV,T_from_T22,T_from_S21
0.000000000000000000e+00,4.167275260205809183e-125,4.167275260205808134e-125
5.001250312578144926e-05,2.071158843705101778e-10,2.071158843705101778e-10
1.000250062515628985e-04,4.160677340035303953e-10,4.160677340035306021e-10
1.500375093773443410e-04,6.268684958966473887e-10,6.268684958966473887e-10
2.000500125031257970e-04,8.395312031798823129e-10,8.395312031798826231e-10
2.500625156289072531e-04,1.054068975686069747e-09,1.054068975686069953e-09
3.000750187546886820e-04,1.270495020525093065e-09,1.270495020525093272e-09
3.500875218804701651e-04,1.488822632661989390e-09,1.488822632661989597e-09
4.001000250062515941e-04,1.709065195498949733e-09,1.709065195498949112e-09
4.501125281320330230e-04,1.931236181461292291e-09,1.931236181461292291e-09
5.001250312578145061e-04,2.155349152587309436e-09,2.155349152587310263e-09
5.501375343835959893e-04,2.381417761122241916e-09,2.381417761122241502e-09
6.001500375093773640e-04,2.609455750116102340e-09,2.609455750116102340e-09
6.501625406351588471e-04,2.839476954025676759e-09,2.839476954025675932e-09
7.001750437609403303e-04,3.071495299320515942e-09,3.071495299320515942e-09
7.501875468867217050e-04,3.305524805093075373e-09,3.305524805093075787e-09
8.002000500125031881e-04,3.541579583672916298e-09,3.541579583672917125e-09
8.502125531382846713e-04,3.779673841245208103e-09,3.779673841245208103e-09
9.002250562640660460e-04,4.019821878473202826e-09,4.019821878473202826e-09
9.502375593898475291e-04,4.262038091125123903e-09,4.262038091125123903e-09
1.000250062515629012e-03,4.506336970705158566e-09,4.506336970705158566e-09
1.050262565641410387e-03,4.752733105088862011e-09,4.752733105088861183e-09
1.100275068767191979e-03,5.001241179162687121e-09,5.001241179162686293e-09
1.150287571892973353e-03,5.251875975468076097e-09,5.251875975468076924e-09
1.200300075018754728e-03,5.504652374849597826e-09,5.504652374849599481e-09
1.250312578144536320e-03,5.759585357107931703e-09,5.759585357107930049e-09
1.300325081270317694e-03,6.016690001656776419e-09,6.016690001656777247e-09
1.350337584396099069e-03,6.275981488184619273e-09,6.275981488184619273e-09
1.400350087521880661e-03,6.537475097320792746e-09,6.537475097320791092e-09
1.450362590647662035e-03,6.801186211306060734e-09,6.801186211306061561e-09
1.500375093773443410e-03,7.067130314667784035e-09,7.067130314667785689e-09
1.550387596899225002e-03,7.335322994899761076e-09,7.335322994899764385e-09
1.600400100025006376e-03,7.605779943146470057e-09,7.605779943146471711e-09
1.650412603150787751e-03,7.878516954892313063e-09,7.878516954892311408e-09
1.700425106276569343e-03,8.153549930655024198e-09,8.153549930655024198e-09
1.750437609402350717e-03,8.430894876684226098e-09,8.430894876684224444e-09
1.800450112528132092e-03,8.710567905664700538e-09,8.710567905664702192e-09
1.850462615653913684e-03,8.992585237424167179e-09,8.992585237424167179e-09
1.900475118779695058e-03,9.276963199646088264e-09,9.276963199646088264e-09
